#info

title=Amsterdam
time=50
music=sounds/level1music.mp3
difficulty=Easy

#level
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,R,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,M,0,R,R,R,R,0,E,0,B,0,0,0,0,0,0,0
0,0,H,0,0,0,0,0,M,0,E,0,0,0,0,0,0,M,0,0,0,R,R,R,R,0,0,0,S,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,M,0,0,0,0,0,R,R,R,R,0,0,0,0,0,E,0,0,0,0,0
0,0,0,0,0,B,0,0,M,0,0,0,B,0,0,0,0,0,0,0,0,R,R,R,R,0,0,0,0,0,0,0,0,0,X,0
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,L,L,L,L,L,L,S,S,S,S,S


